ticker,date,article_datetime,title,polarity,neg,neu,pos
AAPL,2023-08-03,2023-08-03T23:37:08+00:00,Apple Faces Longest Sales Slowdown in Decades as iPhone Slumps,0.94,0.06,0.863,0.076
AAPL,2023-08-03,2023-08-03T23:33:10+00:00,"Asian stocks flat before payrolls data, China up on stimulus promises",0.975,0.048,0.84,0.112
AAPL,2023-08-03,2023-08-03T22:58:52+00:00,Apple posts net sales decrease for third quarter in a row,0.979,0.004,0.923,0.073
AAPL,2023-08-03,2023-08-03T22:57:03+00:00,Apple profits rise as services arm surpasses 1bn users,0.768,0.0,0.887,0.113
AAPL,2023-08-03,2023-08-03T22:37:00+00:00,"Apple Sees Third Straight Quarter of Falling Sales, but Services Unit Hits Record",0.25,0.108,0.735,0.157
AAPL,2023-08-03,2023-08-03T22:06:00+00:00,"Apple, Amazon, Airbnb Beat on Earnings, Sales",0.994,0.037,0.841,0.122
AAPL,2023-08-03,2023-08-03T22:00:06+00:00,"Compared to Estimates, Apple (AAPL) Q3 Earnings: A Look at Key Metrics",0.971,0.006,0.924,0.07
AAPL,2023-08-03,2023-08-03T21:45:12+00:00,Apple (AAPL) Tops Q3 Earnings and Revenue Estimates,0.994,0.014,0.892,0.094
AAPL,2023-08-03,2023-08-03T21:36:00+00:00,Apple Sales Fell 1% in the Latest Quarter. The Stock Edges Lower.,0.026,0.149,0.698,0.153
AAPL,2023-08-03,2023-08-03T21:26:56+00:00,Apple Stock Drops As iPhone Maker's Sales Decline For Third Straight Quarter,0.0,0.0,1.0,0.0
AAPL,2023-08-03,2023-08-03T21:16:44+00:00,"Trump arraigned in D.C., Amazon earnings, Apple's declining revenue: Top Stories",-0.878,0.101,0.814,0.085
AAPL,2023-08-03,2023-08-03T21:05:00+00:00,"Amazon Beats, Apple Disappoints as Earnings Pour In",0.296,0.142,0.665,0.193
AAPL,2023-08-03,2023-08-03T21:03:34+00:00,"Apple earnings beat estimates, services boost results",1.0,0.021,0.856,0.123
AAPL,2023-08-03,2023-08-03T21:01:43+00:00,"Apple's earnings top analysts' forecasts, but year-over-year sales drop for third straight quarter",0.979,0.043,0.867,0.09
AAPL,2023-08-03,2023-08-03T20:46:15+00:00,"Apple iPhone sales drop more than forecast, revenue falls for third straight quarter",0.986,0.017,0.895,0.088
AAPL,2023-08-03,2023-08-03T20:45:07+00:00,"Apple Booked Less Revenue From iPhones and Macs, More From Services",0.44,0.0,0.934,0.066
AAPL,2023-08-03,2023-08-03T20:44:00+00:00,Apple Earnings Top Street As Services Revenues Offset iPhone Slump,0.0,0.0,1.0,0.0
AAPL,2023-08-03,2023-08-03T20:31:39+00:00,"Apple profit tops Wall Street targets, strong services counter weaker iPhone",0.993,0.021,0.89,0.089
AAPL,2023-08-03,2023-08-03T20:05:30+00:00,Disney's Winning Playbook,1.0,0.024,0.77,0.205
AAPL,2023-08-03,2023-08-03T19:40:03+00:00,"Dow futures trade higher as Apple, Amazon report",0.44,0.024,0.934,0.041
AAPL,2023-08-03,2023-08-03T16:05:13+00:00,Stock market today: Dow ends lower as Treasury yields jump ahead of jobs report,0.723,0.071,0.843,0.086
AAPL,2023-08-03,2023-08-03T14:48:09+00:00,"S&amp;P 500 off session lows on dip buying in chips ahead of Apple, Amazon earnings",0.985,0.08,0.794,0.126
AAPL,2023-08-03,2023-08-03T13:53:49+00:00,"Dow Jones Falls After Jobless Claims; Amazon, Apple Earnings Due",-0.296,0.118,0.813,0.069
AAPL,2023-08-03,2023-08-03T13:44:50+00:00,GLOBAL MARKETS-Shares stumble as US yields rise; sterling dips after BoE rate hike,0.382,0.064,0.86,0.076
AAPL,2023-08-03,2023-08-03T13:37:49+00:00,Apple To Reportedly Shift 20% Of iPhone 15 Production To India As It Further Cuts China Reliance,0.979,0.025,0.885,0.089
AAPL,2023-08-03,2023-08-03T13:21:00+00:00,Qualcomm Stock Stumbles After Earnings. How Analysts View Chances of Rebound.,-0.226,0.087,0.913,0.0
AAPL,2023-08-03,2023-08-03T13:19:01+00:00,"Stocks snap win streak, Anheuser-Busch earnings, Apple &amp; Amazon: 3 Things",0.877,0.08,0.729,0.19
AAPL,2023-08-03,2023-08-03T13:10:00+00:00,Apple’s Savings Accounts Reach $10 Billion Ahead of Earnings,0.128,0.076,0.83,0.094
AAPL,2023-08-03,2023-08-03T13:05:00+00:00,A Bull Market Could Be Here: 2 Reasons to Buy Apple Stock,0.848,0.059,0.774,0.167
AAPL,2023-08-03,2023-08-03T13:01:00+00:00,Apple Earnings Preview: Can Services Revenue and AI Hopes Offset Weaker iPhone Demand?,-0.402,0.15,0.85,0.0
AAPL,2023-08-03,2023-08-03T12:37:27+00:00,"Buffett’s Berkshire Poised for Gains on Rate Hikes, Countering Slumps",0.994,0.063,0.822,0.115
AAPL,2023-08-03,2023-08-03T11:36:59+00:00,Russia fines Apple for not deleting 'inaccurate' content on Ukraine conflict,-0.743,0.078,0.87,0.052
AAPL,2023-08-03,2023-08-03T11:05:00+00:00,Better Artificial Intelligence Stock: Apple vs. Microsoft,0.904,0.0,0.82,0.18
AAPL,2023-08-03,2023-08-03T10:27:00+00:00,Apple’s Earnings Can Boost the Stock Market. Here’s What It Needs to Deliver.,0.098,0.0,0.957,0.043
AAPL,2023-08-03,2023-08-03T10:10:58+00:00,UPDATE 2-Russia fines Apple for not deleting 'inaccurate' content on Ukraine conflict,-0.823,0.077,0.877,0.046
AAPL,2023-08-03,2023-08-03T10:04:19+00:00,Marketmind: Time for tech,0.893,0.067,0.832,0.102
AAPL,2023-08-03,2023-08-03T10:01:00+00:00,"Stocks Slip, Treasury Yields Rise, Apple, Amazon Earnings On Deck, PayPal Slumps, Qualcomm Tumbles - 5 Things To Know",0.128,0.12,0.73,0.15
AAPL,2023-08-03,2023-08-03T10:00:00+00:00,MORNING BID-Time for tech,0.893,0.067,0.832,0.102
AAPL,2023-08-03,2023-08-03T09:18:21+00:00,Apple and Amazon Results Pose Tech Rally’s Toughest Hurdle Yet,0.483,0.093,0.808,0.1
AAPL,2023-08-03,2023-08-03T08:00:10+00:00,"Qualcomm, PayPal and Roku fall premarket; DoorDash, Moderna rise",0.961,0.055,0.835,0.11
AAPL,2023-08-03,2023-08-03T07:55:00+00:00,GLOBAL MARKETS-Shares stumble as US yields rise,0.968,0.049,0.85,0.101
AAPL,2023-08-03,2023-08-03T07:36:21+00:00,Apple in India and Nintendo’s IP push,0.103,0.042,0.9,0.057
AAPL,2023-08-03,2023-08-03T05:25:25+00:00,"Apple and Amazon to report, Adidas narrows loss forecast - what's moving markets",-0.973,0.09,0.842,0.068
AAPL,2023-08-03,2023-08-03T04:12:52+00:00,European stocks retreat; BOE rate decision in focus,0.289,0.096,0.807,0.097
AAPL,2023-11-02,2023-11-02T23:28:37+00:00,"Asian stocks rally tracking Wall St strength, easing Fed fears",0.997,0.021,0.816,0.162
AAPL,2023-11-02,2023-11-02T23:19:53+00:00,Apple shares slide as holiday forecast misses expectations,0.987,0.033,0.871,0.096
AAPL,2023-11-02,2023-11-02T23:18:39+00:00,Apple Warns of Sluggish Holiday Quarter After China Slowdown,0.842,0.044,0.897,0.059
AAPL,2023-11-02,2023-11-02T22:42:25+00:00,"Asia Stocks to Rise, Apple Sales Hit US Futures: Markets Wrap",-0.875,0.068,0.87,0.062
AAPL,2023-11-02,2023-11-02T22:06:00+00:00,Markets Up Big Again; Apple (AAPL) Beats Modestly,0.998,0.017,0.853,0.129
AAPL,2023-11-02,2023-11-02T21:55:40+00:00,Apple Inc (AAPL) Reports Q4 2023 Earnings: iPhone Revenue Sets September Quarter Record,0.976,0.011,0.911,0.078
AAPL,2023-11-02,2023-11-02T21:49:00+00:00,Apple Stock Slips Despite Earnings Beat. The Outlook Is a Problem.,0.344,0.0,0.946,0.054
AAPL,2023-11-02,2023-11-02T21:27:00+00:00,"Apple earnings top forecasts, but sales fall for 4th straight quarter on Mac, China weakness",0.0,0.082,0.837,0.082
AAPL,2023-11-02,2023-11-02T21:19:00+00:00,Apple Sales Decline as China Market Weighs on Earnings Report,0.226,0.0,0.942,0.058
AAPL,2023-11-02,2023-11-02T21:18:35+00:00,Apple stock can't 'solely rely' on iPhone sales: Analyst,0.891,0.013,0.89,0.096
AAPL,2023-11-02,2023-11-02T21:13:57+00:00,Dow Jones Roars As Palantir Spikes; Apple Falls Late With Jobs Report Due,0.649,0.063,0.706,0.231
AAPL,2023-11-02,2023-11-02T21:12:47+00:00,Apple Stock Drops As Sales Fall For Fourth Straight Quarter,0.0,0.0,1.0,0.0
AAPL,2023-11-02,2023-11-02T21:04:10+00:00,Apple's sales fall for the fourth straight quarter despite a strong start for latest iPhones,0.976,0.036,0.881,0.083
AAPL,2023-11-02,2023-11-02T20:59:54+00:00,"Apple Services Revenue Climbs in Q4, Despite Companywide Revenue Decline",0.0,0.0,1.0,0.0
AAPL,2023-11-02,2023-11-02T20:55:10+00:00,Breaking Down Apple's Fourth-Quarter Earnings,0.0,0.0,1.0,0.0
AAPL,2023-11-02,2023-11-02T20:52:00+00:00,"Apple Beats After the Close, Capping a Low-Energy Rally",-0.402,0.062,0.91,0.028
AAPL,2023-11-02,2023-11-02T20:33:55+00:00,Apple Stock Falls After Revenue Slips From Last Year’s Quarter,0.781,0.0,0.829,0.171
AAPL,2023-11-02,2023-11-02T20:31:56+00:00,Apple beats quarterly estimates as iPhone sales edge up,0.995,0.002,0.91,0.088
AAPL,2023-11-02,2023-11-02T20:30:57+00:00,Apple stock falls after cautious outlook overshadows record iPhone quarter,0.026,0.019,0.958,0.023
AAPL,2023-11-02,2023-11-02T20:30:57+00:00,"Apple earnings top estimates, iPhone sales notch September-quarter record",0.915,0.015,0.935,0.05
AAPL,2023-11-02,2023-11-02T20:30:00+00:00,Apple reports fourth quarter results,0.982,0.06,0.854,0.086
AAPL,2023-11-02,2023-11-02T19:20:03+00:00,"Dow futures trade steady, Apple slips 2.9% after earnings",0.422,0.03,0.925,0.045
AAPL,2023-11-02,2023-11-02T18:27:45+00:00,Wall Street Predicts These 3 Warren Buffett Stocks Will Soar 88% to 242%,0.999,0.033,0.822,0.144
AAPL,2023-11-02,2023-11-02T17:07:39+00:00,Apple Set to Report Earnings After the Bell,0.296,0.0,0.965,0.035
AAPL,2023-11-02,2023-11-02T16:46:46+00:00,PayPal Stock: Don’t Get Shaken Out of This Value-tastic Trade,0.957,0.087,0.811,0.103
AAPL,2023-11-02,2023-11-02T14:39:57+00:00,Dow Jones Rallies 350 Points After Jobless Claims; Palantir Surges 21% As Apple Earnings Approach,0.422,0.054,0.827,0.119
AAPL,2023-11-02,2023-11-02T14:30:00+00:00,Apple Earnings: Here’s What Wall Street Analysts Think of the Stock,0.0,0.0,1.0,0.0
